t(s),V
1123.000232,0.017992
1124.000289,0.016081
1124.999346,0.022452
1126.000403,0.019903
1127.000461,0.016081
1128.000518,0.019266
1129.000575,0.022452
1130.000632,0.023726
1131.000690,0.023089
1132.000747,0.022452
1133.000804,0.025637
1134.000861,0.023726
1134.999918,0.025000
1135.999976,0.019903
1137.000033,0.022452
1138.000090,0.023726
1139.000147,0.023089
1140.000205,0.025000
1140.999261,0.024363
1142.000319,0.026911
1142.999376,0.028823
1144.000433,0.025637
1144.999490,0.025000
1146.000547,0.025000
1147.000605,0.023089
1147.999662,0.025637
1149.000719,0.025637
1150.000776,0.025000
1151.000834,0.024363
1151.999891,0.028186
1152.999948,0.024363
1154.000005,0.023089
1155.000062,0.027549
1156.000120,0.024363
1157.000177,0.026911
1158.000234,0.026911
1158.999291,0.026274
1160.000348,0.026911
1161.000405,0.025637
1162.000463,0.025000
1163.000520,0.028823
1164.000577,0.027549
1165.000634,0.029460
1165.999691,0.029460
1167.000749,0.028823
1168.000806,0.033920
1169.000863,0.033920
1169.999920,0.036468
1170.999978,0.039654
1172.000035,0.036468
1173.000092,0.037105
1173.999149,0.037742
1174.999206,0.039654
1176.000263,0.039016
1177.000320,0.040291
1178.000378,0.040291
1179.000435,0.039654
1179.999492,0.039654
1180.999549,0.037105
1182.000607,0.039654
1183.000664,0.040291
1184.000721,0.040291
1185.000778,0.040291
1185.999835,0.033920
1186.999893,0.035831
1188.000950,0.039016
1189.000007,0.039654
1189.999064,0.037742
1191.000122,0.037742
1192.000179,0.036468
1192.999236,0.037742
1194.000293,0.037105
1194.999350,0.034557
1196.000407,0.037742
1196.999465,0.037105
1198.000522,0.035194
1199.000579,0.040928
1200.000636,0.038379
1201.000693,0.037742
1201.999751,0.037105
1202.999808,0.037105
1204.000865,0.038379
1204.998922,0.033920
1205.999979,0.034557
1207.000037,0.032008
1208.000094,0.036468
1209.000151,0.037105
1210.000208,0.037105
1211.000265,0.035194
1211.999322,0.037105
1212.999380,0.037105
1214.000437,0.033920
1215.000494,0.035194
1216.000551,0.035831
1216.999609,0.035194
1218.000666,0.034557
1219.000723,0.033920
1220.000780,0.035194
1220.999837,0.035194
1221.998894,0.035831
1222.999952,0.035194
1224.000009,0.032008
1225.000066,0.035194
1226.000124,0.033920
1227.000181,0.032008
1227.999238,0.032645
1229.000295,0.036468
1229.999352,0.034557
1231.000409,0.035194
1232.000466,0.035194
1233.000524,0.033920
1234.000581,0.035194
1235.000638,0.032645
1236.000695,0.032645
1237.000752,0.030734
1237.999810,0.033920
1239.000867,0.035831
1239.999924,0.033282
1240.999981,0.035194
1242.000039,0.035194
1243.000096,0.033282
1244.000153,0.033920
1245.000210,0.035194
1246.000267,0.035194
1247.000324,0.030097
1248.000381,0.028186
1249.000439,0.032645
1250.000496,0.032645
1251.000553,0.035194
1251.999610,0.033282
1253.000668,0.032645
1254.000725,0.035194
1255.000782,0.030097
1256.000839,0.030097
1256.998896,0.033920
1257.999954,0.033282
1258.999011,0.034557
1259.999068,0.032008
1261.000125,0.029460
1262.000182,0.034557
1263.000239,0.032645
1264.000297,0.032645
1264.999354,0.032008
1266.000411,0.028823
1267.000468,0.030097
1268.000525,0.032645
1269.000583,0.030734
1270.000640,0.029460
1271.000697,0.026911
1272.000754,0.028823
1272.999812,0.030097
1274.000869,0.028823
1274.999926,0.028186
1275.998983,0.029460
1277.000041,0.030097
1278.000098,0.028823
1279.000154,0.030097
1280.000212,0.026911
1281.000269,0.026911
1282.000326,0.026911
1282.999383,0.026274
1284.000441,0.025000
1285.000498,0.025000
1286.000555,0.026911
1287.000612,0.025000
